data	zs	data.1	zs.1	data.2	zs.2	data.3	zs.3	data.4	zs.4	data.5	zs.5	data.6	zs.6	data.7	zs.7	data.8	zs.8	data.9	zs.9
13567.06133	-0.0184931680384177	13567.06133	-0.0194955147715269	13567.06133	-0.0194928482543591	13567.06133	-0.0194450141061966	13567.06133	-0.018565812167481	13567.06133	-0.00268069585974322	13567.06133	-0.0323647570913117	13567.06133	-0.160810145028863	13567.06133	-0.384055361243887	13567.06133	-0.419113161295175
13531.30678	-0.0184931680384177	13531.30678	-0.0194955147890762	13531.30678	-0.0194928485686875	13531.30678	-0.019445019736158	13531.30678	-0.0185659128693248	13531.30678	-0.00268201376896817	13531.30678	-0.0323884470430816	13531.30678	-0.161081651153601	13531.30678	-0.384731763179749	13531.30678	-0.419964895971646
13509.93166	-0.0184931680384177	13509.93166	-0.0194955147995677	13509.93166	-0.0194928487566022	13509.93166	-0.0194450231019143	13509.93166	-0.0185659730718444	13509.93166	-0.00268280165380612	13509.93166	-0.0324026095919565	13509.93166	-0.161243965488336	13509.93166	-0.385136136121019	13509.93166	-0.420474087974279
13497.39715	-0.0184931680384177	13497.39715	-0.01949551480572	13497.39715	-0.0194928488667966	13497.39715	-0.0194450250756158	13497.39715	-0.0185660083749952	13497.39715	-0.00268326367462191	13497.39715	-0.0324109146031329	13497.39715	-0.161339147674535	13497.39715	-0.385373263055328	13497.39715	-0.420772681490896
13487.1991	-0.0184931680384177	13487.1991	-0.0194955148107255	13487.1991	-0.0194928489564505	13487.1991	-0.019445026681415	13487.1991	-0.0185660370975617	13487.1991	-0.00268363957375004	13487.1991	-0.032417671542114	13487.1991	-0.161416587693648	13487.1991	-0.385566189011941	13487.1991	-0.421015616524826
13484.56347	-0.0184931680384177	13484.56347	-0.0194955148120191	13484.56347	-0.0194928489796211	13484.56347	-0.019445027096425	13484.56347	-0.0185660445207512	13484.56347	-0.00268373672281472	13484.56347	-0.0324194178358747	13484.56347	-0.161436601641175	13484.56347	-0.385616049665598	13484.56347	-0.421078401749793
13462.58668	-0.0184931680384177	13462.58668	-0.0194955148228059	13462.58668	-0.0194928491728252	13462.58668	-0.0194450305569211	13462.58668	-0.0185661064178601	13462.58668	-0.00268454678515016	13462.58668	-0.0324339790342441	13462.58668	-0.161603484823513	13462.58668	-0.386031804955486	13462.58668	-0.421601926563293
13456.84306	-0.0184931680384177	13456.84306	-0.019495514825625	13456.84306	-0.019492849223319	13456.84306	-0.0194450314613196	13456.84306	-0.0185661225946299	13456.84306	-0.00268475849442304	13456.84306	-0.0324377845941178	13456.84306	-0.161647099636402	13456.84306	-0.386140462334389	13456.84306	-0.421738749438213
13454.25827	-0.0184931680384177	13454.25827	-0.0194955148268937	13454.25827	-0.0194928492460426	13454.25827	-0.0194450318683242	13454.25827	-0.0185661298746297	13454.25827	-0.00268485376953028	13454.25827	-0.032439497202735	13454.25827	-0.161666727524773	13454.25827	-0.386189361200681	13454.25827	-0.421800323567223
13436.46594	-0.0184931680384177	13436.46594	-0.0194955148356267	13436.46594	-0.01949284940246	13436.46594	-0.0194450346699294	13436.46594	-0.0185661799863061	13436.46594	-0.00268550959307835	13436.46594	-0.0324512858964698	13436.46594	-0.161801835547902	13436.46594	-0.386525955185377	13436.46594	-0.422224167369934
13417.73764	-0.0184931680384177	13417.73764	-0.019495514844819	13417.73764	-0.0194928495671058	13417.73764	-0.0194450376189137	13417.73764	-0.0185662327341198	13417.73764	-0.0026861999163893	13417.73764	-0.032463694737407	13417.73764	-0.161944050962609	13417.73764	-0.386880255781397	13417.73764	-0.422670307582616
13412.93324	-0.0184931680384177	13412.93324	-0.0194955148471772	13412.93324	-0.0194928496093426	13412.93324	-0.0194450383754212	13412.93324	-0.0185662462655987	13412.93324	-0.00268637700610461	13412.93324	-0.0324668779967204	13412.93324	-0.161980533704685	13412.93324	-0.386971145065716	13412.93324	-0.422784756626993
13410.15469	-0.0184931680384177	13410.15469	-0.019495514848541	13410.15469	-0.0194928496337696	13410.15469	-0.0194450388129356	13410.15469	-0.018566254091319	13410.15469	-0.00268647942318655	13410.15469	-0.0324687189852236	13410.15469	-0.162001632931018	13410.15469	-0.387023709469376	13410.15469	-0.422850946451374
13404.88733	-0.0184931680384177	13404.88733	-0.0194955148511263	13404.88733	-0.0194928496800765	13404.88733	-0.0194450396423415	13404.88733	-0.0185662689267138	13404.88733	-0.00268667357756229	13404.88733	-0.0324722089887156	13404.88733	-0.16204163121099	13404.88733	-0.387123356996778	13404.88733	-0.422976423996622
13395.10086	-0.0184931680384177	13395.10086	-0.0194955148559298	13395.10086	-0.0194928497661121	13395.10086	-0.0194450411833327	13395.10086	-0.0185662964900749	13395.10086	-0.00268703430589177	13395.10086	-0.0324786932264503	13395.10086	-0.162115945851912	13395.10086	-0.387308496713353	13395.10086	-0.423209554489364
13351.62028	-0.0184931680384177	13351.62028	-0.0194955148772712	13351.62028	-0.0194928501483621	13351.62028	-0.0194450480298457	13351.62028	-0.0185664189520994	13351.62028	-0.00268863699582881	13351.62028	-0.0325075022267908	13351.62028	-0.162446120438843	13351.62028	-0.388131059114066	13351.62028	-0.424245336445481
13351.32124	-0.0184931680384177	13351.32124	-0.019495514877418	13351.32124	-0.0194928501509911	13351.32124	-0.019445048076933	13351.32124	-0.0185664197943385	13351.32124	-0.00268864801841403	13351.32124	-0.0325077003622219	13351.32124	-0.162448391232113	13351.32124	-0.388136716330698	13351.32124	-0.424252460090937
